1
1h 4h 6h 3a 62 36 3h 83 a2 5a 
52 57 53 58 a3 6a 68 6h 6h ah 
1a 1h 56 15 1h 1h 3h 17 a3 8a 
81 a1 8a 58 45 42 48 46 a4 1a 
14 a4 28 2a 21 25 15 71 a5 85 
17 51 7a 18 71 76 85 16 51 a6 
15 81 51 58 18 15 61 5a 16 81 
85 15 81 82 8h 12 71 a2 72 78 
75 73 57 2a 75 27 3h 72 87 85 
83 28 75 27 87 28 a7 82 48 2a 
84 28 25 5h a8 2a 21 62 a1 26 
21 61 2a 16 2h 72 4h 27 42 45 
25 72 4h 61 5h 16 3h 61 5h 54 
3h 45 27 12 54 4h 21 62 3h 26 
72 16 27 12 62 61 21 26 72 16 
27 12 62 32 36 26 32 43 64 4h 
24 46 24 21 72 41 74 78 67 71 
67 48 64 74 17 74 17 28 42 27 
42 21 62 42 64 7h 46 24 74 17 
12 42 16 46 14 5h 76 27 41 24 
74 17 27 42 47 64 47 64 74 76 
26 42 47 64 27 62 72 58 38 35 
13 61 71 21 76 26 12 26 12 62 
73 67 27 21 62 23 62 13 43 64 
12 71 72 57 12 51 71 27 46 54 
32 73 17 14 21 74 27 17 41 81 
84 14 18 71 72 47 78 47 12 41 
71 27 45 64 32 73 17 15 21 75 
27 17 21 24 72 71 47 21 52 46 
54 24 12 76 57 31 23 42 47 14 
27 12 42 84 2h 47 64 21 72 28 
72 46 74 24 12 75 67 17 41 45 
74 15 61 24 82 71 87 7h 37 58 
28 42 72 17 23 24 52 16 51 21 
42 47 14 27 62 41 34 1h 47 54 
14 71 13 71 26 72 12 41 76 57 
47 24 26 72 46 34 46 34 27 32 
42 74 75 67 72 67 14 21 17 21 
71 72 17 72 47 16 21 16 21 23 
52 13 61 13 61 74 67 17 41 25 
62 14 71 72 47 12 61 74 37 2h 
73 27 21 52 7h 47 42 34 2h 43 
84 8h 25 12 16 51 87 8h 26 72 
78 67 28 62 72 87 ah 78 37 4a 
24 73 87 15 81 26 52 82 12 61 
41 84 ah 45 24 74 17 25 28 42 
58 48 54 28 32 16 31 37 17 61 
31 45 74 71 41 54 21 32 72 17 
45 14 12 42 54 7a 17 45 24 71 
87 4h 14 78 27 16 21 63 13 42 
72 51 ah 24 27 47 34 36 42 84 
4a 74 42 64 74 27 74 27 15 41 
17 41 71 74 17 74 57 12 41 12 
41 46 84 16 21 16 81 41 24 75 
17 15 61 75 67 17 61 74 71 47 
71 87 23 52 43 14 43 54 78 24 
31 4h 57 32 48 34 24 12 24 12 
75 47 72 47 27 21 72 85 14 24 
82 71 47 71 47 46 54 76 57 25 
62 45 64 24 12 78 21 4h 17 12 
58 21 52 82 14 85 4h 13 51 21 
25 12 25 32 46 23 1h 34 6h 52 
51 21 43 6h 32 8h 14 23 41 ah 
36 7a 18 63 81 ah 32 2a 14 15 
45 5h 57 7h 3h ah 5a ah 
