1
4h 6h 3h 8a 62 67 a2 5a 53 56 
a3 1a 43 51 5h ah 1a 58 18 12 
a8 71 75 7h 15 3a 37 a7 34 51 
7a 74 a4 5a 35 3h 31 75 76 7h 
37 38 37 a7 6a 68 63 a8 3a 23 
28 38 68 a3 6a 16 17 67 16 1h 
1h 7h a1 6a 26 23 63 26 2h 25 
2h 26 ah 45 24 7a 76 7h a6 42 
54 25 8a 82 a2 83 8h 2a 23 a3 
72 7h 4a 47 57 a5 2a 52 54 74 
75 25 a7 3a 32 a2 7a 37 38 78 
a7 2a 28 a8 7a 32 3h 4h 54 a7 
53 43 45 35 34 54 2a 63 62 32 
45 67 a3 6a 26 27 67 a2 3a 46 
43 63 46 4h 24 53 52 56 26 36 
a2 3a 35 a5 4a 43 4h 4h ah 2h 
8h 74 7h 65 72 73 23 67 62 72 
52 5a 56 a6 26 4a 27 25 75 65 
a4 82 8a 87 a7 27 62 52 56 26 
25 8a 82 a2 4a 84 81 41 65 a4 
2a 21 a1 56 72 7h 71 65 87 8a 
8h 4h 84 8h 2h 4h 3h 3h 1h 3h 
85 1h 5h 1h 5h 5h 7h 1h 1h 5h 
5h ah 6h 1h 6h 1h 6h 
